id,date_utc,asset,tf_structure,channel_type,touches_primary,touches_parallel,angle_note,anchor_notes,event,close_outside,vol_vs_avg,measured_move_hit,outcome_r,hindsight,skip_reason,notes,ict_read,sweep_wick,murphy_confirm,ict_notes
S01,2026-05-01,QQQUSDT,4H,asc,2,1,ok,L:2026-04-28 12:00 654.20; L:2026-04-29 20:00 655.91; H:2026-04-30 00:00 668.62 (vol not extreme),B_break,yes,2.26,,,yes,,close 674.93 outside upper; US cash hours; clean Mode B candidate,na,na,na,na
S02,2026-05-01,QQQUSDT,4H,asc,2,1,ok,same as S01,B_retest_ok,no,0.54,partial_hold,~0.0 to +0.3R then drift,yes,,retest 20:00 low 671.84 held near broken upper; follow-through weak overnight — textbook wait-for-retest but R small,na,na,na,na
S03,2026-05-01,QQQUSDT,4H,asc,2,1,ok,same as S01,A_bounce,no,1.63,,>0 to mid/upper,yes,,16:00 reject from upper after break already happened — late A; better as B management,na,na,na,na
S04,2026-05-12,QQQUSDT,4H,desc,2,1,ok,H:05-10 16:00 715.00; H:05-11 16:00 714.90; L:05-10 20:00 709.10,B_break,yes,0.86,,,yes,,lower break close 706.98 on SUB-1.5x vol — suspect per literature,na,na,na,na
S05,2026-05-12,QQQUSDT,4H,desc,2,1,ok,same as S04,B_retest_ok,no,3.63,yes_then_extend,strong down after retest,yes,,12:00 retest with VOL* then flush to 699 — Mode B short worked despite weak break vol,na,na,na,na
S06,2026-05-18,QQQUSDT,4H,desc,2,1,ok,H:05-14 721.75; H:05-18 714.17; L:05-18 702.12,A_bounce,no,2.98,,>0 toward mid,yes,,lower bounce 16:00 with volume — Mode A with-trend short-covering bounce inside desc,na,na,na,na
S07,2026-05-20,QQQUSDT,4H,desc,2,1,ok,same as S06,B_break,yes,2.60,,,yes,,upper break of desc channel — trend-change / acceleration long candidate,na,na,na,na
S08,2026-05-27,QQQUSDT,4H,asc,2,1,ok,L:05-26 08:00 722.47; L:05-28 04:00 723.28; H:05-29 12:00 741.86 (width~18),A_bounce,no,3.45,,failed upper; closed mid,yes,,12:00 spike to 738.17 then close 727.78 — upper rejection wick; Mode A short-from-upper risky in ascending channel (literature: trade with trend),na,na,na,na
S09,2026-05-28,QQQUSDT,4H,asc,2,1,ok,same as S08,A_bounce,no,0.93,,>0 to upper,yes,,04:00 bounce off rising lower — Mode A long; quiet vol,na,na,na,na
S10,2026-06-02,QQQUSDT,4H,asc,2,2+,ok,same as S08 (later upper tests 05-30..06-01),B_break,yes,2.22,,,yes,,close 746.07 above upper after multiple upper tags — acceleration break,real_break,n,heads_up_ok,accel BOS thru multi-touch upper; not sweep
S11,2026-06-02,QQQUSDT,4H,asc,2,2+,ok,same as S10,B_retest_ok,no,1.04,partial,held then topped 06-03,yes,,16:00 retest held; measured width ~18 pts projects ~764 but price topped ~749 next day — MM miss,hold,n,entry_marginal,throwback held; MM 1x width too greedy
S12,2026-06-09,QQQUSDT,4H,desc_or_crash,1,1,steep,post 06-03 top; wide H 749->L 687 — not a tight parallel,fakeout_or_chaos,yes,3.81,,,yes,messy_structure,726->698 flush; treat as structure break not clean channel,na,na,na,na
S13,2026-06-11,QQQUSDT,4H,asc_recovery,2,1,steep,L:06-09 16:00 686.96; L:06-10 20:00 688.40; H:06-10 12:00 712.32,B_break,yes,2.02,,,yes,steep_angle,recovery channel upper break 717.39; angle steep — literature distrust,na,na,na,na
S14,2026-06-11,QQQUSDT,4H,asc_recovery,2,1,steep,same as S13,B_retest_ok,no,0.41,yes_short_term,held then continued up,yes,,20:00 retest low vol; still worked into 06-12 — low-vol retest can work but fragile,na,na,na,na
S15,2026-06-14,QQQUSDT,4H,asc,2,1,ok,L:06-12 712.52; L:06-13 716.84; H:06-13 725.61,B_break,yes,1.80,,,yes,,20:00 close 732.23 outside; weekend/asia mix on Bitget — still clear close rule,real_break,n,heads_up_ok,upper break volx1.8; gold Mode B start
S16,2026-06-15,QQQUSDT,4H,asc,2,1,ok,same as S15,B_retest_ok,no,0.54,yes_then_extend,ran to 747,yes,,00:00 retest held; strong follow-through into 06-16 high — best Mode B example in sample so far,hold,n,entry_ok,textbook throwback; classic=ICT agree
S17,2026-06-17,QQQUSDT,4H,asc,2,1,ok,L:06-13 716.84; L:06-16 730.26; H:06-15 745.51,B_break,yes,3.31,,,yes,,lower break close 723.71 VOL* — ascending channel invalidation (Mode C),na,na,na,na
S18,2026-06-21,QQQUSDT,4H,desc,2,1,flat_ok,H:06-20 744.00; H:06-21 742.56; L:06-20 739.11 (tight),B_break,yes,2.77,,,yes,,lower break of tight desc; vol confirms,unclear_ssl_raid,partial,heads_up_only,tight desc lower break; may be SSL bait
S19,2026-06-22,QQQUSDT,4H,desc,2,1,flat_ok,same as S18,B_retest_ok,no,5.04,failed_continuation,retest then bounce up to 746,yes,,00:00 retest VOL* but price rallied — failed Mode B short; teach: retest != auto entry without rejection,sweep_reclaim,y,entry_fail_no_reject,high-vol retest then rally; rejection filter mandatory
S20,2026-06-25,QQQUSDT,4H,desc,2,1,ok,H:06-22 746.61; H:06-25 729.46; L:06-26 703.24 forming,A_bounce,no,4.07,,failed; flushed,yes,,12:00 upper rejection attempt then collapse — wick chaos; skip for clean A,na,na,na,na
S21,2026-07-17,QQQUSDT,4H,desc,2,1,ok,H:07-15 726.91; H:07-16 720.90; L near 711,B_break,yes,1.01,,,yes,,close 700.15 below; vol ~1x only — borderline,na,na,na,na
S22,2026-07-17,QQQUSDT,4H,desc,2,1,ok,same as S21,B_retest_ok,no,3.13,yes_then_chop,held then range 694-703,yes,,12:00 hammer-like reclaim attempt at lows with VOL*; follow-through limited — RTH continuation unclear on 4H crypto quote,na,na,na,na
S23,2026-07-21,QQQUSDT,4H,asc,2,1,ok,L:07-19 694.46; L:07-20 694.78; H:07-21 710.91,A_bounce,no,1.65,,>0 to upper ~710,yes,,00:00 bounce off flat lower into upper — clean Mode A long inside short-lived asc,na,na,na,na
S24,2026-07-23,QQQUSDT,4H,asc,2,1,ok,same as S23,B_break,yes,4.79,,,yes,,lower break 692.51 VOL* — Mode C invalidation after A worked,na,na,na,na
S25,2026-07-27,QQQUSDT,4H,desc,2,1,ok,H:07-22 710.36; H:07-27 696.99; L:07-23 689.05,A_bounce,no,4.89,,failed; closed weak,yes,,12:00 huge vol sell into lower area — not a clean bounce; distribution,na,na,na,na
S26,2026-07-29,QQQUSDT,4H,desc,2,1,ok,same as S25,B_break,yes,2.12,,,yes,,00:00 close 672.13 below lower,na,na,na,na
S27,2026-07-29,QQQUSDT,4H,desc,2,1,ok,same as S25,B_retest_fail,no,1.39,,,yes,,04:00 bounce back above broken lower — failed breakdown / trap risk for Mode B shorts,na,na,na,na
S28,2026-05-04,QQQUSDT,4H,asc,2,1,ok,L:04-30 657.74; L:05-03 672.18; H:05-01 675.47,B_break,yes,1.93,,,yes,,lower break after weak lower bounces — early Mode C,na,na,na,na
